original_index	presentation_index	annotator	is_flipped	query	adj_0	adj_1
39	0	0	True	I think, in general, even with my team I just I started out with emojis and get pretty crazy and then I fgured out if the person and I had the kind of relationship that was casual enough for sharing because there’s defnitely GIFs that are like very funny funny like those are the kind that you will interact with a friend using	I would say, for using, for using like a stickers and memes, they are, they are fun, but I don’t use use those with like, with like everyone, basically I use these GIFs and stickers approximately with only like four to fve people...but the people who I am like comfortable with, whom I chat like after ofce, if I share my personal things with them to, with those people, I’m pretty comfortable and I share the stickers and memes with them.	I ensured to use two smileys at least when emailing my team mates. It softens the tension that we have because we don’t know each other
54	1	0	False	If you watch a video several times, you would learn how they edit it, and you can try to imitate it for that effect. Overtime, you will know.	For example, here, in their videos, ...there is a change in audience feedback, e.g. there is a lot of Danmu, and I will know that the feedback is good, and I will know this is the efect that I should learn.	Some would say, the rhythm is not so good or there is no rhythmic point, or other places that are not so good. They, the audience, would use Danmu or comments to give you such feedback
69	2	0	False	I’m not sure who’s signing, I’m not sure who’s talking	I don’t know if they’ve raised their hand or where they are. Sometimes I can’t see them and it’ll be like, oh, they’re on a diferent screen	when there are more people in the room we can’t all fit in one screen and so you have to swipe screens to get the view of the other people and that is a signifcant problem
35	3	0	False	I tended to use a two-step method where I brought the main ingredients, especially in a chicken, to food-safe temperatures before I finished it in the [solar] oven	I knew that I could get my oven to 150 pretty regularly, I was like, well, what cooks at 150? I started Googling that and I was like, literally what cooks at 150 degree Fahrenheit? Through that trail I found that most of those recipes were dehydration recipes	It [beef jerky] hit 140 within two hours. It was at 150 within four. After four hours I put it in the oven to cook it up to the 165 that it needed to be at to be at to heat. It didn’t make us sick at all. We both ate it. It was great
132	4	0	False	it feels better to pull with a more guarantee at the back of your mind	I’m not a huge fan of the system because they are optimized to make more money, they are designed so that if you don’t spend money your progress is a lot more limited. [Companies] have psychological tricks to make you spend more money	[a pity system] encourages the player to keep going since they expect they will get something better
105	5	0	False	Wow, this is the most boring opening I’ve ever seen. It feels like you’re doing homework, feels like you’re just clicking buttons. There’s no visual feedback or visual reward	I think it’s pretty bad ... it’s not something that is super spectacular, or something that makes you feel really great and stuff	because it shows appreciation from developers when you get rewards so [the animation is] in a sense a reward for progression
126	6	0	False	happy, but also unlucky if it took too many tries	I feel if I were to open a lot, e.g. like 100 or 300, I would like to skip the animation ... it would get annoying after a while	I go in with the expectation that I will pull this character, and have a budget for my pulls
74	7	0	False	Most people, people in my team, are above 50 or 60, so it’s a little difcult to send like meme, stickers it can mean like something diferent if you are not sending to the people of your own age...Because I did not like I uh I did not get any response back, so I thought, okay, so maybe I should not have sent that; otherwise, she would have been responded to me...it’s a generational gap.	I would say, for using stickers and memes, they are fun, but I don’t use those with like everyone basically I use these GIFs and stickers approximately with only like four to fve people...I keep my professional distance...if you would say because nobody uses those I have back in India, so I am on the fence with that	The very frst time, I couldn’t use all this because I was not aware Like if it was actually a good thing to do so, even with the manager, I still can’t do it... though things are smooth and all but I still can’t do it or use emoji while chatting with my manager or some other person in the senior management, it is just that we use simple SMILEY
64	8	0	True	It was a long time ago, last year, when I uploaded a ftness video...Probably it happened to step on the recommendation algorithm, and it got over 500,000 views shortly, but it did not bring many followers...and the interaction was also not good.	Some fans told me in their private message that they got dates by following my tutorials...I felt it was worth it. Even if the video was only watched by a number of viewers, it was worth it. I was very happy. It was the highlight and gave me a sense of achievement.	For me to make the Vlog, frst it is to share my life, and second, I hope it can also help others.”
118	9	0	True	adding delay and baiting the colours of the rarity for the thrill	if I get something [not as good] I feel worse	In Genshin Impact I feel I got something really good because I can see that it shows that I got something really good. whereas in [League of Legends] they feel all the same, . . . , so I don’t really care about the skin I get it’s all just whatever
65	10	0	False	It was easier to go back through the timeline when I could understand the story and empathize with others only if I knew the story covered earlier	I could jump back to certain sections by looking at snapshots on the timeline when there was something I couldn’t understand	I was able to enjoy the stream by looking at the parts that people were mainly interested in.
