original_index	query	q_0	q_1	label_0	label_1
100	Typical live streams are unedited, so it’s easy to get bored when it gets loose. However, the summary feature made me enjoy the stream especially when the streamer was not speaking or something that I’m not interested in was being played	Based on snapshots and keywords I was able to roughly understand when ingredients were introduced and when and what ingredients were added. However, it was difcult to grasp the exact contents with the highlight feature alone, such as how it was cooked	I could understand the flow of the game well because it made the order of previous events clear for me.	both	both
102	When I joined, someone told me we all had chosen a specifc emoji, and whenever we have a recommended message, oh, I’ve read it instead of like All responding separately. We respond with our personal emoji, so that’s a super formal way, my favorite emojis were already taken when I joined the group, so I chose, in the end, a fun video emoji with like a star...	The emoji and then the text communication is a subset of this new expected cultural norm of the accepted behavior for a company, that’s now online [...] You have an expectation that’s preset on, and we’ve been trained; you watch a movie you’re learning like oh that’s how people behave in an ofce, you know, and now it’s not like there’s a movie that shows people behaving on slack, so like the behavior, diferent people really varies [...]	There is an emoji that’s kind of like that this guy used to send to everybody, and it became kind of like his thing...And then now do you know we don’t see that emoji thrown around anymore, and feel like people don’t want to use it, because then you know; it’s copycatting that guy	q1_more_similar	q1_more_similar
105	Wow, this is the most boring opening I’ve ever seen. It feels like you’re doing homework, feels like you’re just clicking buttons. There’s no visual feedback or visual reward	I think it’s pretty bad ... it’s not something that is super spectacular, or something that makes you feel really great and stuff	because it shows appreciation from developers when you get rewards so [the animation is] in a sense a reward for progression	q0_more_similar	both
106	Ye there are some cool things you could do with music so in the skateboarding game music intensifies so there could be more cars on the road, and it becomes less . . . things to dodge if the music is slow	I like involvement of music well music in any game is gonna create some physical interaction with the player . . . with fast music your gonna be involved but with chill your gonna be less involved	you don’t think about doing these activities when you’re playing the game like collecting these pizzas or fighting robots, so it becomes one more robot, one more robot, and you don’t even realise you’ve done PA	q0_more_similar	q0_more_similar
107	Yeah, I mean one thing is that there are too many emoji and I have to if I had to use a new one, I had to go and search what it means, and then use it. So most of the times, I’m aware that there is a hover over feature, it tells the meaning, but it’s just that there are too many. So, I think it’s just a preference that I tend to not look over it since, as I mean since I’m a Ph.D. student, I tend to have a short amount of time to get things done in a short amount of time	So he would say thank you over the video, and after a few minutes he would send a giphy...he would send that, and that sticker would be crying. And it would seem that that person is sad, and I wouldn’t say anything like for a few days, but then I noticed this kept happening again. I was totally clueless...and then it turns out that he was sending like over happiness, which I thought, like, ‘Why is he crying and why is the person sad?	When I want to search some like keywords, but I cannot get the emoji, I don’t know if they have, like several keywords for emoji or there’s just like a naming for the emoji say if you give one emoji several keywords I can search it very quickly... Sometimes when I type something, especially for the emoji. I cannot get the result. I can just see no results	both	q1_more_similar
109	Yes, I would say that because previously in my last company I have made some great friends and, and I did not met with them like face to face ever, but I, but I still talk to them and I haven’t had any calls with them only messages and right now, at this company, I never had, I never had any physical Like physical connection with like a with like anyone [...] so I would say yes, non-textual responses have helped me in in building the relationships and I have made some great friends in my previous [and] current company	I can say, when I was not very familiar with the team, I was hesitant to use diferent smileys. Like you know, I’m kind of like shy in nature when it comes to like sharing a heart SMILEY with others. It is sometimes difcult for me, so yeah, I was frst like very hesitant to put a heart. But later as I get to know people, yeah they are like kind of cool... I don’t mind using it now	Then slowly, then, after some time we transcended from emails to phone calls and then to video calls like four ... And that happened because I would sometimes use SMILEY or some emoji and they would also reciprocate	both	q1_more_similar
110	You are all alone by yourself, speaking to yourself in front of a camera, with emotions, and then, editing is also a very long process. You might sit there for a whole day, and quietly watch an episode again and again, by yourself, and there is nothing to talk about, and there is no input from anyone else either. There is a lot of tedious labor, all manual labor.	For example, here, in their videos, ...there is a change in audience feedback, e.g. there is a lot of Danmu, and I will know that the feedback is good, and I will know this is the efect that I should learn.	For the uploader [anonymized], I think he must be a shy person in reality. If you have a strong presentation online, you will be introverted in reality for sure	neither	q1_more_similar
112	You don’t have tactile feedback in these wheelchairs, whereas if you were in a manual chair, You know, you can feel the resistance when you’re trying to push it	It can make people better aware [that] the wheelchair is coming, but I don’t want to draw extra attention on me, especially on my disability	Yes, I would like to receive this kind of thing [i.e. feedback from the wheelchair], it would be nice to be told what it is going to do, so that you would be aware, and you’re not taken by surprise.	q1_more_similar	q1_more_similar
114	Young people in China use slightly smiling emoji when they do not care or are speechless, and you do not wish to engage...once a Prof. from China used and I had no idea what he means...I asked for clarifcation, suggestions to improve if something was not right	There is a lot more information that a GIF carries compared to an emoji...it is just a fxed kind of expression or emotion devoid of any context of why, like a person is feeling that way, except for like what it is that you are talking about in the conversation	When I do not get a particular emoji I fnd a closest match to an emoji available on Mattermost that I can use to substitute	neither	q0_more_similar
116	[a pity system] encourages the player to keep going since they expect they will get something better	I think you have to have a pity system or else I would get so mad in not getting the item forever that I would actually quit the game	it feels better to pull with a more guarantee at the back of your mind	q0_more_similar	q0_more_similar
